Variable,Links Wave 3,Type,Topic,Reference Period Other Than Survey Period
teacher_pickup_sec_child1,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_none_sec_child1,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_sec_child1,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_sec_child1_str,:ref:`🔗 <w3e-v6_bokind>`,str,Childcare, 
teacher_email_sec_child2,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_phone_sec_child2,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_post_sec_child2,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_media_sec_child2,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_platform_sec_child2,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_pickup_sec_child2,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_none_sec_child2,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_sec_child2,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_sec_child2_str,:ref:`🔗 <w3e-v6_bokind>`,str,Childcare, 
teacher_email_sec_child3,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_phone_sec_child3,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_post_sec_child3,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_media_sec_child3,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_platform_sec_child3,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_pickup_sec_child3,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_none_sec_child3,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_sec_child3,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_sec_child3_str,:ref:`🔗 <w3e-v6_bokind>`,str,Childcare, 
teacher_email_sec_child4,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_phone_sec_child4,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_post_sec_child4,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_media_sec_child4,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_platform_sec_child4,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_pickup_sec_child4,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_none_sec_child4,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_sec_child4,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_sec_child4_str,:ref:`🔗 <w3e-v6_bokind>`,str,Childcare, 
teacher_email_sec_child5,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_phone_sec_child5,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_post_sec_child5,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_media_sec_child5,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_platform_sec_child5,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_pickup_sec_child5,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_none_sec_child5,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_sec_child5,:ref:`🔗 <w3e-v6_bokind>`,bool,Childcare, 
teacher_other_sec_child5_str,:ref:`🔗 <w3e-v6_bokind>`,str,Childcare, 
