page;id;qid;layout;filter;group;question_dutch;subquestion_dutch;question_english;subquestion_english;type;categories_dutch;categories_english;new_name
36.02;ExpUnempl_today2021;ExpUnempl_today;table;-;Expected Unemployment Today;"We willen graag weten wat u verwacht dat het werkloosheidscijfer in Nederland zal zijn. Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar. 
Wat zijn uw verwachtingen over het werkloosheidspercentage?";2021;"We would like to know what you expect the unemployment rate to be in the Netherlands. The unemployment rate in the period 2017-2019 was about 4% per year.
What are your expectations about the unemployment rate?";2021;Categorical;minder dan 3.0%|3.0% tot 6.0%|6.0% tot 9.0%|9.0% tot 12.0%|12.0% of hoger;less than 3.0%|3.0% to 6.0%|6.0% to 9.0%|9.0% to 12.0%|12.0% or greater;
36.03;ExpUnempl_today2022;ExpUnempl_today;table;-;Expected Unemployment Today;"We willen graag weten wat u verwacht dat het werkloosheidscijfer in Nederland zal zijn. Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar. 
Wat zijn uw verwachtingen over het werkloosheidspercentage?";2022;"We would like to know what you expect the unemployment rate to be in the Netherlands. The unemployment rate in the period 2017-2019 was about 4% per year.
What are your expectations about the unemployment rate?";2022;Categorical;minder dan 3.0%|3.0% tot 6.0%|6.0% tot 9.0%|9.0% tot 12.0%|12.0% of hoger;less than 3.0%|3.0% to 6.0%|6.0% to 9.0%|9.0% to 12.0%|12.0% or greater;
37.01;ExpEcGr_today2020;ExpEcGr_today;table;-;Expected Economic Growth Today;"We willen graag weten wat u verwacht dat de groei van de economie in Nederland zal zijn. De economische groei, dat wil zeggen, de verandering van de hoeveelheid goederen en diensten die Nederland kan gebruiken, was in de periode 2017-2019 ongeveer 2,5% per jaar. 
Wat zijn uw verwachtingen over de economische groei?";2020;"We would like to know what you expect the growth of the economy in the Netherlands will be. Economic growth, i.e. the change in the amount of goods and services that the Netherlands can use, was about 2.5% per year in the period 2017-2019. 
What are your expectations of economic growth?";2020;Categorical;minder dan -10%|-10% tot -5%|-5% tot 0%|0% tot 5%|5% tot 10%|10% of hoger;less than -10%|-10% to -5%|-5% to 0%|0% to 5%|5% to 10%|10% or greater;
37.02;ExpEcGr_today2021;ExpEcGr_today;table;-;Expected Economic Growth Today;"We willen graag weten wat u verwacht dat de groei van de economie in Nederland zal zijn. De economische groei, dat wil zeggen, de verandering van de hoeveelheid goederen en diensten die Nederland kan gebruiken, was in de periode 2017-2019 ongeveer 2,5% per jaar. 
Wat zijn uw verwachtingen over de economische groei?";2021;"We would like to know what you expect the growth of the economy in the Netherlands will be. Economic growth, i.e. the change in the amount of goods and services that the Netherlands can use, was about 2.5% per year in the period 2017-2019. 
What are your expectations of economic growth?";2021;Categorical;minder dan -10%|-10% tot -5%|-5% tot 0%|0% tot 5%|5% tot 10%|10% of hoger;less than -10%|-10% to -5%|-5% to 0%|0% to 5%|5% to 10%|10% or greater;
37.03;ExpEcGr_today2022;ExpEcGr_today;table;-;Expected Economic Growth Today;"We willen graag weten wat u verwacht dat de groei van de economie in Nederland zal zijn. De economische groei, dat wil zeggen, de verandering van de hoeveelheid goederen en diensten die Nederland kan gebruiken, was in de periode 2017-2019 ongeveer 2,5% per jaar. 
Wat zijn uw verwachtingen over de economische groei?";2022;"We would like to know what you expect the growth of the economy in the Netherlands will be. Economic growth, i.e. the change in the amount of goods and services that the Netherlands can use, was about 2.5% per year in the period 2017-2019. 
What are your expectations of economic growth?";2022;Categorical;minder dan -10%|-10% tot -5%|-5% tot 0%|0% tot 5%|5% tot 10%|10% of hoger;less than -10%|-10% to -5%|-5% to 0%|0% to 5%|5% to 10%|10% or greater;
38.01;ExpInfl_today2020;ExpInfl_today;table;;Expected Inflation Today;"We willen graag weten wat u verwacht dat de prijsverandering (verandering van de consumptieprijzen, inflatie) in Nederland zal zijn. De inflatie was in de periode 2017-2019 ongeveer 1,8% per jaar.
Wat zijn uw verwachtingen over de inflatie (een negatief percentage betekent dat prijzen dalen)?";2020;"We would like to know what you expect the price change (change in consumer prices, inflation) to be in the Netherlands. Inflation in the period 2017-2019 was about 1.8% per year.
What are your expectations about inflation (a negative percentage means that prices are falling)?";2020;Categorical;minder dan -2%|-2% tot 0%|0% tot 2%|2% tot 4%|4% tot 6%|6% of hoger;less than -2%|-2% to 0%|0% to 2%|2% to 4%|4% to 6%|6% or greater;
38.02;ExpInfl_today2021;ExpInfl_today;table;-;Expected Inflation Today;"We willen graag weten wat u verwacht dat de prijsverandering (verandering van de consumptieprijzen, inflatie) in Nederland zal zijn. De inflatie was in de periode 2017-2019 ongeveer 1,8% per jaar.
Wat zijn uw verwachtingen over de inflatie (een negatief percentage betekent dat prijzen dalen)?";2021;"We would like to know what you expect the price change (change in consumer prices, inflation) to be in the Netherlands. Inflation in the period 2017-2019 was about 1.8% per year.
What are your expectations about inflation (a negative percentage means that prices are falling)?";2021;Categorical;minder dan -2%|-2% tot 0%|0% tot 2%|2% tot 4%|4% tot 6%|6% of hoger;less than -2%|-2% to 0%|0% to 2%|2% to 4%|4% to 6%|6% or greater;
38.03;ExpInfl_today2022;ExpInfl_today;table;-;Expected Inflation Today;"We willen graag weten wat u verwacht dat de prijsverandering (verandering van de consumptieprijzen, inflatie) in Nederland zal zijn. De inflatie was in de periode 2017-2019 ongeveer 1,8% per jaar.
Wat zijn uw verwachtingen over de inflatie (een negatief percentage betekent dat prijzen dalen)?";2022;"We would like to know what you expect the price change (change in consumer prices, inflation) to be in the Netherlands. Inflation in the period 2017-2019 was about 1.8% per year.
What are your expectations about inflation (a negative percentage means that prices are falling)?";2022;Categorical;minder dan -2%|-2% tot 0%|0% tot 2%|2% tot 4%|4% tot 6%|6% of hoger;less than -2%|-2% to 0%|0% to 2%|2% to 4%|4% to 6%|6% or greater;
39.01;eva2t1;-;;;;;;;;Categorical;;;
39.02;eva2t2;-;;;;;;;;Categorical;;;
39.03;eva2t3;-;;;;;;;;Categorical;;;
39.04;eva2t4;-;;;;;;;;Categorical;;;
39.05;eva2t5;-;;;;;;;;Categorical;;;
;nomem_encr;-;;;;;;;;float;;;
;maandnr;-;;;;;;;;int;;;
;p_aantalhh;-;;;;;;;;;;;
;p_leeftijd;;;;;;;;;;;;
;opm;opm;;;;;;;;;;;
;evaopm;-;;;;;;;;str;;;
;DatumB;-;;;;;;;;;;;
;TijdB;-;;;;;;;;;;;
;DatumE;-;;;;;;;;;;;
;TijdE;-;;;;;;;;;;;
;duur;-;;;;;;;;;;;
;nohouse_encr;-;;;;;;;;;;;
;geslacht;-;;;;;;;;Categorical;;;
;positie;-;;;;;;;;Categorical;;;
;gebjaar;-;;;;;;;;int;;;
;leeftijd;-;;;;;;;;float;;;
;lftdcat;-;;;;;;;;Categorical;;;
;lftdhhh;-;;;;;;;;int;;;
;aantalhh;-;;;;;;;;Categorical;;;
;aantalki;-;;;;;;;;Categorical;;;
;partner;-;;;;;;;;bool;;;
;burgstat;-;;;;;;;;Categorical;;;
;woonvorm;-;;;;;;;;Categorical;;;
;woning;-;;;;;;;;Categorical;;;
;sted;-;;;;;;;;Categorical;;;
;belbezig;-;;;;;;;;Categorical;;;
;brutoink;-;;;;;;;;Categorical;;;
;brutoink_f;-;;;;;;;;Categorical;;;
;nettoink;-;;;;;;;;Categorical;;;
;netinc;-;;;;;;;;int;;;
;nettoink_f;-;;;;;;;;int;;;
;brutocat;-;;;;;;;;Categorical;;;
;nettocat;-;;;;;;;;Categorical;;;
;brutohh_f;-;;;;;;;;float;;;
;nettohh_f;-;;;;;;;;float;;;
;oplzon;-;;;;;;;;Categorical;;;
;oplmet;-;;;;;;;;Categorical;;;
;oplcat;-;;;;;;;;Categorical;;;
;account;-;;;;;;;;bool;;;
;ISCO08_NamesDifferentJobs_01;-;;;;;;;;;;;
;ISCO08_NamesDifferentJobs_02;-;;;;;;;;;;;
;ISCO08_NamesDifferentJobs_03;-;;;;;;;;;;;
;ISCO08_NamesDifferentJobs_04;-;;;;;;;;;;;
;ISCO08_NamesDifferentJobs_05;-;;;;;;;;;;;
;ISCO08_NamesDifferentJobs_06;-;;;;;;;;;;;
;ISCO08_NamesDifferentJobs_07;-;;;;;;;;;;;
;ISCO08_NamesDifferentJobs_08;-;;;;;;;;;;;
;ISCO08_NamesDifferentJobs_09;-;;;;;;;;;;;
;ISCO08_NamesDifferentJobs_10;-;;;;;;;;;;;
